PROSPECTID,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,CC_enq,CC_enq_L6m,CC_enq_L12m,PL_enq,PL_enq_L6m,PL_enq_L12m,time_since_recent_enq,enq_L12m,enq_L6m,enq_L3m,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,pct_opened_TLs_L6m_of_L12m,pct_currentBal_all_TL,CC_utilization,CC_Flag,PL_utilization,PL_Flag,pct_PL_enq_L6m_of_L12m,pct_CC_enq_L6m_of_L12m,pct_PL_enq_L6m_of_ever,pct_CC_enq_L6m_of_ever,max_unsec_exposure_inPct,HL_Flag,GL_Flag,last_prod_enq2,first_prod_enq2,Credit_Score,Approved_Flag,HAS_CC,HAS_PL,Total_TL,Tot_Active_TL,Tot_Closed_TL,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_closed_l6m,pct_tl_open_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
1,549,35,15,11,29,29,0,0,0,NULL,NULL,0,0,21,5,11,0,0,0,0,0,0,0,0,0,29,6,0,0,0,6,0,0,566,0,0,0,Married,12TH,48,M,51000,114,0.200000003,0,0.797999978,NULL,0,0.797999978,1,0,0,0,0,13.33300018,1,0,PL,PL,696,2,0,1,5,1,4,0,0,0,0,0.200000003,0.800000012,0,0,0,0,0,0,0,0,1,0,4,1,4,0,72,18
2,47,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,209,1,0,0,Single,GRADUATE,23,F,19000,50,1,0,0.370000005,NULL,0,NULL,0,0,0,0,0,0.860000014,0,0,ConsumerLoan,ConsumerLoan,685,2,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,7,7
3,302,11,3,9,25,25,1,9,8,25,25,0,0,10,5,10,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,587,0,0,0,Married,SSC,40,M,18,191,1,0.5,0.584999979,NULL,0,NULL,0,0,0,0,0,5741.666992,1,0,ConsumerLoan,others,693,2,0,0,8,8,0,1,0,0,0.125,1,0,2,0,0.25,0,1,1,0,6,1,0,0,2,6,0,47,2
4,NULL,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,SSC,34,M,10000,246,1,1,0.99000001,NULL,0,NULL,0,0,0,0,0,9.899999619,0,0,others,others,673,2,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,5,5
5,583,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,53,4,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3951,0,0,0,Married,POST-GRADUATE,48,M,15000,75,0.333000004,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,AL,AL,753,1,0,0,3,1,2,0,0,0,0,0.333000004,0.666999996,0,0,0,0,0,1,0,0,0,0,0,3,0,2,131,32
6,245,27,18,14,300,270,0,0,0,0,0,13,11,5,0,2,3,0,1,0,0,0,0,0,0,26,15,2,0,1,7,3,3,7,6,5,4,Married,12TH,35,M,NULL,154,0.166999996,0,0,NULL,0,NULL,0,1,0,0.42899999,0,NULL,1,0,ConsumerLoan,PL,668,3,0,0,6,1,5,0,0,0,0,0.166999996,0.833000004,0,1,0,0.166999996,0,4,0,0,2,0,0,6,0,0,150,17
7,49,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,25,11,20,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,SSC,35,M,30000,81,0.666999996,0.5,0.998000026,NULL,0,NULL,0,0,0,0,0,NULL,1,0,others,others,703,1,0,0,3,2,1,1,1,0.333000004,0.333000004,0.666999996,0.333000004,2,1,0.666999996,0.333000004,1,0,0,0,3,0,0,3,0,0,17,5
8,74,23,12,3,164,133,0,0,0,0,0,2,2,27,0,4,0,0,0,0,0,0,0,0,0,133,2,0,0,0,0,0,0,2,1,1,1,Married,UNDER GRADUATE,30,M,27000,126,0.333000004,0,0.300000012,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,others,676,2,0,0,6,2,4,0,0,0,0,0.333000004,0.666999996,1,2,0.166999996,0.333000004,0,1,0,0,0,0,0,6,0,5,36,8
9,424,7,4,3,99,38,2,3,1,38,99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0,108,1,1,0,Married,SSC,39,F,18000,122,1,0,0.465000004,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,others,658,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,16,16
10,39,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,39,4,10,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,12TH,28,M,18000,68,0.5,0,1.121000051,NULL,0,NULL,0,0,0,0,0,3.332999945,0,0,others,others,705,1,0,0,2,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,1,2,66,39
11,35,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,1,4,0,0,87,1,1,1,Single,GRADUATE,27,M,20000,95,0.713999987,0.333000004,0.846000016,0.672999978,1,0.943000019,1,0,1,0,0.333000004,13.06400013,0,0,CC,others,685,2,1,1,7,5,2,1,0,0,0.143000007,0.713999987,0.286000013,3,1,0.42899999,0.143000007,0,2,1,2,0,0,2,2,5,0,64,5
12,2543,NULL,NULL,0,NULL,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Married,SSC,57,F,30000,141,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,682,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,96,96
13,1037,24,24,1,31,31,0,0,0,NULL,NULL,1,0,33,4,10,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0,3,2,1,1,Married,SSC,30,M,55000,126,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,ConsumerLoan,others,669,2,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,49,49
14,46,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,164,1,1,0,Married,SSC,39,M,25000,125,0.5,1,0.344999999,NULL,0,NULL,0,0,0,0,0,0.287999988,0,0,ConsumerLoan,ConsumerLoan,687,2,0,0,2,1,1,1,0,0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,16,5
15,395,NULL,NULL,0,NULL,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1135,0,0,0,Married,12TH,27,M,30000,154,0,0,0,NULL,0,NULL,0,0,0,0,0,NULL,0,0,others,others,692,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38,38
